brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age,mileage_per_year,is_luxury_brand,had_accident,has_clean_title,engine_size_l,is_automatic
BMW,M3 Base,2011,72277.0,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,34950.0,15,4818.466666666666,1,0,1,4.0,0
Jeep,Wrangler Rubicon,2023,7000.0,Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,None reported,Yes,46000.0,3,2333.3333333333335,0,0,1,3.6,1
Porsche,Panamera 4 Platinum Edition,2022,10627.0,Gasoline,"2.9L V-6 gasoline direct injection, DOHC, variable valve control","Automatic, 8-Spd PDK Dual-Clutch",Chalk,BLACK,None reported,Unknown,99000.0,4,2656.75,1,0,0,2.9,1
Ford,Explorer XLT,2020,67015.0,Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Oxford White,Sandstone,None reported,Unknown,28590.0,6,11169.166666666666,0,0,0,2.3,1
BMW,M4 Base,2018,19600.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,62000.0,8,2450.0,1,1,1,3.0,1
Ford,Mustang Mach-E Premium,2022,5800.0,Unknown,346.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,White,None reported,Yes,42500.0,4,1450.0,0,0,1,,1
FIAT,500e Battery Electric,2017,33812.0,Unknown,111.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,Black,None reported,Yes,14999.0,9,3756.8888888888887,0,0,1,,1
Cadillac,Escalade Luxury,2015,99897.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,26950.0,11,9081.545454545454,0,0,1,6.2,1
Mercedes-Benz,SL-Class SL 550,2014,127500.0,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,29000.0,12,10625.0,1,0,1,4.7,0
Ford,Expedition Limited,2021,23842.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Medium Stone,None reported,Yes,59203.0,5,4768.4,0,0,1,3.5,1
Rivian,R1S Adventure Package,2023,2108.0,Unknown,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,White,None reported,Yes,91000.0,3,702.6666666666666,0,0,1,,1
BMW,M6 Base,2014,65550.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,39985.0,12,5462.5,1,0,1,4.4,0
Lamborghini,Huracan LP580-2,2017,22000.0,Gasoline,573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,99175.0,9,2444.4444444444443,0,0,1,5.2,0
Ford,Bronco Wildtrak Advanced,2022,15600.0,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,–,At least 1 accident or damage reported,Yes,68995.0,4,3900.0,0,1,1,2.7,0
Lexus,LC 500 Base,2021,22400.0,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,Yes,81900.0,5,4480.0,1,0,1,5.0,1
Lexus,LS 460 Crafted Line,2015,89150.0,Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,31900.0,11,8104.545454545455,1,0,1,4.6,1
BMW,M4 Base,2023,15000.0,Gasoline,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va","Automatic, 8-Spd M STEPTRONIC w/Drivelogic, Sport & Manual Modes",BLUE,ORANGE,None reported,Unknown,81000.0,3,5000.0,1,0,0,,1
Audi,A3 2.0T Tech Premium,2018,49500.0,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Gray,None reported,Yes,25000.0,8,6187.5,1,0,1,2.0,1
Audi,S8 4.2 quattro,2003,126000.0,Gasoline,360.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,Unknown,Unknown,13850.0,23,5478.260869565217,1,0,0,4.2,0
Volkswagen,Golf GTI 2.0T Autobahn 4-Door,2015,85385.0,Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,15550.0,11,7762.272727272727,0,0,1,2.0,0
Cadillac,Escalade Sport,2023,3000.0,Diesel,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,A/T,White,Brown,None reported,Yes,99175.0,3,1000.0,0,0,1,3.0,1
Hyundai,Tucson SE,2018,66126.0,Gasoline,2.0L I4 16V GDI DOHC,6-Speed Automatic,Dazzling White,Gray,None reported,Unknown,19190.0,8,8265.75,0,0,0,2.0,1
Toyota,GR86 Premium,2023,1075.0,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,35000.0,3,358.3333333333333,0,0,1,2.4,0
Ford,Bronco Raptor,2023,2489.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,Oxford White,Black Onyx,None reported,Unknown,98900.0,3,829.6666666666666,0,0,0,3.0,1
Hyundai,Santa Fe SEL,2021,25000.0,Gasoline,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gray,None reported,Yes,28500.0,5,5000.0,0,0,1,2.5,1
Nissan,Armada Platinum,2017,92000.0,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,20900.0,9,10222.222222222223,0,0,1,5.6,1
Lexus,GX 470 Base,2008,123500.0,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500.0,18,6861.111111111111,1,1,1,4.7,1
Cadillac,CTS Premium,2013,105000.0,Gasoline,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,12000.0,13,8076.923076923077,0,1,1,3.6,1
Audi,R8 Base,2008,49000.0,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,63000.0,18,2722.222222222222,1,0,1,4.2,0
Jaguar,F-PACE S,2020,28357.0,Gasoline,3.0 Liter,Automatic,Santorini Black Metallic,Pimento Red w/Ebony,None reported,Unknown,47598.0,6,4726.166666666667,1,0,0,,1
Chevrolet,Silverado 1500 1LT,2018,81000.0,E85 Flex Fuel,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,A/T,Red,Gray,None reported,Yes,32000.0,8,10125.0,0,0,1,4.3,1
Ford,Expedition Limited,2021,45000.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,52000.0,5,9000.0,0,0,1,3.5,0
Toyota,Sequoia Platinum,2011,173456.0,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,16000.0,15,11563.733333333334,0,1,1,5.7,1
BMW,M440 i,2021,13700.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Beige,Unknown,Unknown,60000.0,5,2740.0,1,0,0,3.0,1
Audi,A8 L 55,2019,93400.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Brown,None reported,Yes,42500.0,7,13342.857142857143,1,0,1,3.0,1
Toyota,Avalon XLE,2015,90000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,18200.0,11,8181.818181818182,0,0,1,3.5,1
Porsche,Macan Base,2017,40600.0,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,32000.0,9,4511.111111111111,1,0,1,2.0,1
Lexus,IS 350 F Sport,2023,20121.0,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,None reported,Yes,47124.0,3,6707.0,1,0,1,3.5,1
Mercedes-Benz,Metris Base,2020,3921.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic,Black,White,None reported,Yes,99175.0,6,653.5,1,0,1,2.0,1
Lexus,RX 350 Base,2011,187450.0,Gasoline,275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,10400.0,15,12496.666666666666,1,1,1,3.5,1
Toyota,Supra A91 Edition,2021,6400.0,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,68000.0,5,1280.0,0,0,1,3.0,0
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,54500.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,37995.0,9,6055.555555555556,1,0,1,3.0,1
BMW,X6 xDrive50i,2017,78500.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Brown,At least 1 accident or damage reported,Yes,42000.0,9,8722.222222222223,1,1,1,4.4,1
Chevrolet,Tahoe LT,2018,75000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,36000.0,8,9375.0,0,0,1,5.3,1
Ford,F-150 SVT Raptor,2014,89988.0,Gasoline,411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Red,At least 1 accident or damage reported,Yes,42500.0,12,7499.0,0,1,1,6.2,1
Subaru,Outback 3.0 R VDC Limited,2005,107000.0,Gasoline,250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,7100.0,21,5095.238095238095,0,0,1,3.0,1
Alfa,Romeo Giulia Ti,2019,21400.0,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,28500.0,7,3057.1428571428573,0,0,1,2.0,1
Mazda,CX-7 Grand Touring,2007,83150.0,Gasoline,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,6950.0,19,4376.315789473684,0,0,1,2.3,1
Ford,F-150 Platinum,2018,92000.0,Diesel,250.0HP 3.0L V6 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,36500.0,8,11500.0,0,1,1,3.0,1
Mercedes-Benz,GLE 350 Base 4MATIC,2021,15042.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Selenite Gray Metallic,Macchiato,None reported,Unknown,54599.0,5,3008.4,1,0,0,2.0,1
Audi,A7 3.0T Premium Plus,2017,39000.0,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,35000.0,9,4333.333333333333,1,1,1,3.0,0
RAM,2500 Laramie,2017,67483.0,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Beige,At least 1 accident or damage reported,Yes,46500.0,9,7498.111111111111,0,1,1,6.4,1
Tesla,Model S 70D,2015,62089.0,Unknown,329.0HP Electric Motor Electric Fuel System,A/T,Black,Beige,None reported,Yes,29975.0,11,5644.454545454545,0,0,1,,1
Audi,S8 4.0T Plus,2017,54300.0,Gasoline,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,53500.0,9,6033.333333333333,1,0,1,4.0,1
Hyundai,Sonata Hybrid Limited,2022,30565.0,Hybrid,192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,Black,None reported,Yes,29000.0,4,7641.25,0,0,1,2.0,1
Audi,A8 L 4.0T,2016,142666.0,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,22000.0,10,14266.6,1,1,1,4.0,1
Ford,Ranger Sport SuperCab,2009,166200.0,Gasoline,207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,6999.0,17,9776.470588235294,0,1,1,4.0,1
INFINITI,Q50 Hybrid Premium,2015,88977.0,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,19977.0,11,8088.818181818182,0,1,1,3.5,1
BMW,M3 Base,2011,114890.0,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,20990.0,15,7659.333333333333,1,0,1,4.0,0
Mercedes-Benz,E-Class E 350 4MATIC,2009,171000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,4750.0,17,10058.823529411764,1,1,1,3.5,1
Ford,Explorer sport,2019,90067.0,Gasoline,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Black,Ebony Black,None reported,Unknown,28590.0,7,12866.714285714286,0,0,0,3.5,1
Chevrolet,Camaro 1LT,2014,97579.0,Gasoline,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,15000.0,12,8131.583333333333,0,1,1,3.6,0
Mazda,MX-5 Miata RF Grand Touring,2017,52000.0,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,20500.0,9,5777.777777777777,0,1,1,2.0,0
Jeep,Grand Cherokee L Limited,2021,25968.0,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Metallic,Global Black,None reported,Unknown,38405.0,5,5193.6,0,0,0,3.6,1
MINI,Hardtop Cooper S,2016,41680.0,Gasoline,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,17495.0,10,4168.0,0,0,1,2.0,1
Saab,9-3 SE,2002,77200.0,Gasoline,205.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Beige,None reported,Yes,7500.0,24,3216.6666666666665,0,0,1,2.0,0
BMW,X5 xDrive40i,2019,50000.0,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Gold,None reported,Yes,43000.0,7,7142.857142857143,1,0,1,3.0,1
Porsche,Macan,2021,21613.0,Gasoline,2.0 Liter,Automatic,White,–,None reported,Unknown,58998.0,5,4322.6,1,0,0,,1
Audi,Q3 S line Premium Plus,2022,17377.0,Gasoline,2.0 Liter TFSI,Automatic,Glacier White,Pearl Beige,None reported,Unknown,39998.0,4,4344.25,1,0,0,,1
GMC,Acadia SLE,2020,30426.0,Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,Ebony Twilight Metallic,Jet Black,Unknown,Unknown,29645.0,6,5071.0,0,0,0,2.5,1
Audi,allroad 2.7T,2005,153000.0,Gasoline,250.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,M/T,Blue,Blue,At least 1 accident or damage reported,Yes,6500.0,21,7285.714285714285,1,1,1,2.7,0
Mercury,Marauder Base,2004,56600.0,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Silver,Black,None reported,Yes,23000.0,22,2572.7272727272725,0,0,1,4.6,0
Hyundai,Genesis 3.8,2015,116612.0,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,At least 1 accident or damage reported,Yes,12700.0,11,10601.09090909091,0,1,1,3.8,1
Audi,SQ5 3.0T Premium Plus,2018,72000.0,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,30000.0,8,9000.0,1,1,1,3.0,1
Audi,A8 L 55,2019,39000.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Brown,None reported,Yes,50000.0,7,5571.428571428572,1,0,1,3.0,1
Lincoln,Navigator Base,2008,149000.0,Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,10099.0,18,8277.777777777777,0,0,1,5.4,1
BMW,M4 Base,2018,19300.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Silver,None reported,Yes,64000.0,8,2412.5,1,0,1,3.0,0
Mazda,CX-9 Carbon Edition,2021,27836.0,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Polymetal Gray Metallic,Red,None reported,Yes,36969.0,5,5567.2,0,0,1,2.5,1
Chevrolet,Corvette Stingray w/1LT,2023,3273.0,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,78999.0,3,1091.0,0,0,1,6.2,0
Ford,F-150 Lariat,2017,74349.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,–,None reported,Yes,36000.0,9,8261.0,0,0,1,3.5,1
Ford,F-250 Lariat,2019,85000.0,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,55000.0,7,12142.857142857143,0,1,1,6.7,1
Ferrari,Roma Base,2022,2250.0,Gasoline,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Blue,None reported,Yes,99175.0,4,562.5,1,0,1,3.9,1
Mercedes-Benz,GLS 450 Base 4MATIC,2017,46100.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,33000.0,9,5122.222222222223,1,1,1,3.0,1
Hyundai,Santa Fe SEL Plus 2.4,2019,49500.0,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Gray,None reported,Yes,28000.0,7,7071.428571428572,0,0,1,2.4,1
Mercedes-Benz,E-Class E 350,2012,31130.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,23500.0,14,2223.5714285714284,1,0,1,3.5,1
Ford,F-250 XLT SuperCab Super Duty,2008,149460.0,Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,12240.0,18,8303.333333333334,0,1,1,6.4,1
Mercury,Marauder Base,2003,90000.0,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,15500.0,23,3913.0434782608695,0,1,1,4.6,1
Ford,Transit-350 XLT,2021,48000.0,E85 Flex Fuel,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,57000.0,5,9600.0,0,0,1,3.5,1
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000.0,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,15500.0,13,7538.461538461538,1,1,1,3.5,1
Volkswagen,Arteon SEL R-Line,2022,18655.0,Gasoline,2.0 Liter TSI,Automatic,Oryx White Prl,Titan Black,None reported,Unknown,38698.0,4,4663.75,0,0,0,,1
Chevrolet,Suburban 2500 LS,2006,60000.0,Gasoline,325.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Brown,At least 1 accident or damage reported,Yes,24950.0,20,3000.0,0,1,1,8.1,1
Chevrolet,Suburban 1500 LT,2014,169500.0,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Purple,Brown,None reported,Yes,15000.0,12,14125.0,0,0,1,5.3,1
Mitsubishi,Eclipse GS,2008,189500.0,Gasoline,162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,6000.0,18,10527.777777777777,0,0,1,2.4,0
Toyota,Land Cruiser Base,2016,91000.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,68500.0,10,9100.0,0,0,1,5.7,1
Genesis,G80 2.5T,2022,7396.0,Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,Black Forest Green,Black,None reported,Unknown,41299.0,4,1849.0,0,0,0,2.5,1
Toyota,Tundra SR5 Access Cab,2004,200684.0,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,8250.0,22,9122.0,0,0,1,4.7,1
Maserati,Quattroporte Modena Q4,2023,8603.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Tan,None reported,Unknown,99175.0,3,2867.6666666666665,1,0,0,3.0,1
Audi,RS 5 4.2,2014,49098.0,Gasoline,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,44900.0,12,4091.5,1,1,1,4.2,0
Nissan,Rogue S,2022,21212.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Gun Metallic,Charcoal,None reported,Unknown,28906.0,4,5303.0,0,0,0,1.5,1
Porsche,Panamera 4S,2010,62743.0,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,None reported,Yes,28600.0,16,3921.4375,1,0,1,4.8,0
BMW,M440 i xDrive,2021,24300.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Beige,None reported,Yes,49999.0,5,4860.0,1,0,1,3.0,1
Cadillac,Escalade Premium,2010,104000.0,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,–,None reported,Yes,19500.0,16,6500.0,0,0,1,6.2,1
Volvo,S60 T6 Momentum,2020,46250.0,Gasoline,2.0L I4 16V GDI DOHC,8-Speed Automatic,White,Charcoal,At least 1 accident or damage reported,Yes,27800.0,6,7708.333333333333,0,1,1,2.0,1
Mazda,CX-9 Touring Plus,2023,1930.0,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Jet Black Mica,Black,At least 1 accident or damage reported,Yes,40655.0,3,643.3333333333334,0,1,1,2.5,1
Chrysler,Pacifica Hybrid Touring L,2022,61494.0,Hybrid,3.6L V6 24V MPFI DOHC Hybrid,Automatic CVT,Bright White Clearcoat,Black,None reported,Unknown,35850.0,4,15373.5,0,0,0,3.6,1
Jeep,Wrangler Unlimited Sport,2020,24040.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black Clearcoat,Black,None reported,Yes,35273.0,6,4006.6666666666665,0,0,1,2.0,1
Toyota,Highlander Base,2001,200684.0,Gasoline,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,Yes,4300.0,25,8027.36,0,0,1,3.0,1
Ford,F-150 Lariat,2019,81000.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,38500.0,7,11571.42857142857,0,0,1,3.5,1
Ford,Bronco,1974,6217.0,–,–,–,Dark Gray Metallic,–,None reported,Yes,99175.0,52,119.5576923076923,0,0,1,,0
Land,Rover Discovery Sport S R-Dynamic,2022,23568.0,Gasoline,2.0 Liter,Automatic,Firenze Red,Ebony,None reported,Unknown,44998.0,4,5892.0,0,0,0,,1
Mazda,Mazda6 Touring,2020,78700.0,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,18000.0,6,13116.666666666666,0,0,1,2.5,1
Kia,Optima EX,2015,109580.0,Gasoline,192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,11900.0,11,9961.818181818182,0,1,1,2.4,1
Lexus,RX 350 Base,2009,178000.0,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,4500.0,17,10470.588235294117,1,1,1,3.5,1
Mitsubishi,Outlander Sport 2.4 SE,2016,131193.0,Gasoline,2.4L I4 16V MPFI DOHC,Automatic CVT,Black,Black,None reported,Yes,11970.0,10,13119.3,0,0,1,2.4,1
Mercedes-Benz,GLS 450 Base 4MATIC,2017,106000.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,25900.0,9,11777.777777777777,1,0,1,3.0,1
Audi,A3 2.0T Premium,2019,28211.0,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,27500.0,7,4030.1428571428573,1,1,1,2.0,0
Audi,A4 2.0T Premium,2015,91403.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Silver,Gray,None reported,Unknown,14998.0,11,8309.363636363636,1,0,0,2.0,1
Mercedes-Benz,CLA-Class CLA 250,2016,88600.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,16800.0,10,8860.0,1,1,1,2.0,1
INFINITI,FX50 Base,2011,84900.0,Gasoline,390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,Unknown,Unknown,22450.0,15,5660.0,0,0,0,5.0,1
Kia,K5 EX,2021,11154.0,Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacial White Pearl,Black,None reported,Unknown,28998.0,5,2230.8,0,0,0,1.6,1
BMW,X5 eDrive xDrive40e,2018,45090.0,Plug-In Hybrid,313.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,30750.0,8,5636.25,1,1,1,2.0,1
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,33272.0,Gasoline,192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,11900.0,23,1446.608695652174,1,1,1,2.3,1
Jeep,Wrangler SE,2003,71000.0,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Gray,None reported,Yes,12499.0,23,3086.9565217391305,0,0,1,2.4,0
Kia,Telluride SX,2020,55400.0,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,White,Unknown,Unknown,36500.0,6,9233.333333333334,0,0,0,3.8,1
Land,Rover LR4 Lux,2012,141525.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,14490.0,14,10108.92857142857,0,0,1,5.0,1
