brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age,mileage_per_year,is_luxury_brand,had_accident,has_clean_title,engine_size_l,is_automatic
Toyota,Supra 3.0 Premium,2021,12500.0,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None reported,Yes,53500.0,5,2500.0,0,0,1,3.0,1
Lincoln,Aviator Reserve AWD,2022,18196.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000.0,4,4549.0,0,0,1,3.0,0
Jaguar,F-TYPE,2020,15903.0,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,None reported,Unknown,47998.0,6,2650.5,1,0,0,,1
Land,Rover LR4 HSE,2013,79800.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,29990.0,13,6138.461538461538,0,0,1,5.0,1
Mercedes-Benz,Metris Base,2021,1685.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,None reported,Yes,99175.0,5,337.0,1,0,1,2.0,1
Dodge,Challenger SXT,2013,61074.0,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,16800.0,13,4698.0,0,0,1,3.6,1
Nissan,350Z Enthusiast,2003,74000.0,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,None reported,Yes,11000.0,23,3217.391304347826,0,0,1,3.5,0
Jaguar,F-TYPE R,2018,35250.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,68750.0,8,4406.25,1,0,1,5.0,1
Genesis,GV70 3.5T Sport,2023,5400.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,Unknown,Unknown,60000.0,3,1800.0,0,0,0,3.5,1
Chevrolet,S-10 LS,2000,133510.0,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,None reported,Yes,4500.0,26,5135.0,0,0,1,2.2,1
BMW,440 Gran Coupe 440i xDrive,2020,25990.0,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,None reported,Unknown,38598.0,6,4331.666666666667,1,0,0,,1
Ford,F-150 XLT,2023,2823.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,None reported,Yes,58504.0,3,941.0,0,0,1,3.5,1
Chevrolet,Suburban RST,2021,52000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,61000.0,5,10400.0,0,0,1,5.3,1
Hyundai,Elantra N Base,2022,11650.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300.0,4,2912.5,0,0,1,2.0,0
Nissan,Sentra SR,2016,96541.0,Gasoline,1.8 Liter,Automatic,Blue,Black,None reported,Unknown,13998.0,10,9654.1,0,0,0,,1
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500.0,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,59995.0,5,3500.0,1,0,1,2.0,1
BMW,650 Gran Coupe i xDrive,2015,69000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25700.0,11,6272.727272727273,1,0,1,4.4,1
Audi,Q5 2.0T Premium Plus,2017,81880.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,21375.0,9,9097.777777777777,1,0,1,2.0,1
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,48000.0,8,3600.0,1,0,1,3.0,1
Dodge,Ram 1500 Laramie Mega Cab,2006,200684.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,10900.0,20,10034.2,0,1,1,5.7,1
BMW,i3 120Ah w/Range Extender,2020,35035.0,Hybrid,120 AH,Automatic,Black,Black,None reported,Unknown,24998.0,6,5839.166666666667,1,0,0,,1
Kia,Sorento SX,2011,171000.0,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,5999.0,15,11400.0,0,0,1,3.5,1
Lexus,LX 570 Base,2016,118700.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,46900.0,10,11870.0,1,0,1,5.7,1
Jeep,New Compass Trailhawk,2017,119000.0,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,15900.0,9,13222.222222222223,0,0,1,2.4,1
BMW,340 i,2018,44261.0,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None reported,Unknown,33598.0,8,5532.625,1,0,0,,1
Audi,A4 2.0T Premium Plus quattro,2012,125575.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,8999.0,14,8969.642857142857,1,0,1,2.0,1
Hyundai,Tucson SE,2007,16200.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,8200.0,19,852.6315789473684,0,0,1,2.7,1
BMW,Z4 sDrive28i,2014,70000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,20000.0,12,5833.333333333333,1,1,1,2.0,1
Bentley,Continental GTC Base,2011,20200.0,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,79950.0,15,1346.6666666666667,1,0,1,6.0,1
Honda,Passport Elite,2023,2978.0,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,Unknown,45498.0,3,992.6666666666666,0,0,0,,1
Dodge,Sprinter 2500,2007,189719.0,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,14000.0,19,9985.21052631579,0,1,1,3.0,1
BMW,M850 i xDrive,2019,9949.0,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,Unknown,75798.0,7,1421.2857142857142,1,0,0,,1
Lucid,Air Grand Touring,2022,3552.0,Unknown,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,None reported,Yes,99175.0,4,888.0,0,0,1,,1
Audi,A7 Premium,2012,54000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880.0,14,3857.1428571428573,1,1,1,3.0,1
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351.0,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,43147.0,5,10270.2,0,0,1,5.3,1
MINI,Convertible John Cooper Works,2017,24280.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000.0,9,2697.777777777778,0,1,1,2.0,1
Toyota,Avalon Touring,2016,89148.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17500.0,10,8914.8,0,0,1,3.5,1
Porsche,Cayenne Platinum Edition,2017,73043.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,30990.0,9,8115.888888888889,1,0,1,3.6,1
Mercedes-Benz,AMG C 63 S,2017,60000.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,52500.0,9,6666.666666666667,1,1,1,4.0,0
Honda,CR-V EX-L,2016,73549.0,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,Unknown,20848.0,10,7354.9,0,1,0,2.4,1
Hummer,H2 Base,2005,110900.0,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,19500.0,21,5280.952380952381,0,0,1,6.0,1
Porsche,911 Carrera S,2013,39000.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,73000.0,13,3000.0,1,0,1,3.8,1
